Transaction_ID,Date,Store_ID,Product_ID,Category_ID,Quantity_Sold,Sale_Price_Per_Unit,Total_Sale_Amount,Discount_Amount,Net_Sale_Amount,Payment_Method,Customer_ID,Salesperson_ID
22791,7/14/2021 11:23,104,520,101,2,141.19,282.38,18.88,263.5,Debit Card,1863,532
47210,5/2/2021 6:06,183,526,102,2,49.18,98.36,12.79,85.57,Mobile Payment,1888,514
32504,3/10/2021 16:22,198,573,103,1,103.01,103.01,24.38,78.63,Debit Card,1251,570
18301,5/1/2021 9:40,175,573,103,4,166.26,665.04,8.39,656.65,Debit Card,1705,576
25727,10/24/2021 21:00,128,577,102,2,159.47,318.94,19.66,299.28,Debit Card,1341,580
44656,10/6/2021 6:58,196,577,102,3,14.08,42.24,10.21,32.03,Credit Card,1273,577
42067,4/27/2021 18:34,169,507,103,5,133.34,666.7,28.5,638.2,Debit Card,1886,549
11445,8/7/2021 17:01,172,549,101,4,96.61,386.44,25.72,360.72,Credit Card,1625,514
95982,4/19/2021 3:20,185,510,103,3,159.76,479.28,27.32,451.96,Debit Card,1917,562
18973,11/4/2021 18:16,148,546,103,5,124.84,624.2,6.8,617.4,Debit Card,1283,516
74553,3/31/2021 0:35,108,581,102,3,180.25,540.75,29.45,511.3,Cash,1614,502
15822,7/30/2021 1:06,103,541,104,1,45.67,45.67,15.35,30.32,Credit Card,1608,523
19281,11/24/2020 4:16,164,598,105,1,133.26,133.26,17.59,115.67,Debit Card,1451,543
13099,4/29/2021 8:06,142,530,102,3,141.37,424.11,8.52,415.59,Mobile Payment,1211,526
28127,5/28/2021 11:24,194,552,101,4,41.65,166.6,13.59,153.01,Debit Card,1368,534
11118,9/2/2021 4:23,131,599,104,5,149.65,748.25,17.06,731.19,Mobile Payment,1827,522
83743,10/28/2021 6:15,188,556,104,1,108.84,108.84,28.47,80.37,Credit Card,1677,589
69854,1/18/2021 18:27,162,586,106,5,71.95,359.75,8.32,351.43,Credit Card,1372,591
85261,3/22/2021 21:08,111,509,106,5,188.19,940.95,8.89,932.06,Credit Card,1914,574
14448,2/21/2021 5:53,150,543,107,3,160.05,480.15,28.65,451.5,Credit Card,1266,596
12485,12/7/2020 23:32,153,536,103,1,177.56,177.56,8.93,168.63,Debit Card,1972,508
26603,3/8/2021 3:03,101,537,107,3,158.39,475.17,23.34,451.83,Mobile Payment,1243,544
54495,3/26/2021 15:46,142,566,105,3,163.08,489.24,19.36,469.88,Credit Card,1495,573
97307,5/15/2021 15:12,182,547,103,4,123.27,493.08,21.48,471.6,Mobile Payment,1280,514
78210,3/6/2021 11:45,134,522,102,4,129.25,517,1.94,515.06,Credit Card,1165,550
64962,6/1/2021 6:22,153,550,107,4,48.9,195.6,7.26,188.34,Cash,1775,519
18552,5/5/2021 9:53,155,509,106,4,170.55,682.2,25.91,656.29,Mobile Payment,1871,500
64286,1/22/2021 1:13,164,516,106,4,40.82,163.28,2.25,161.03,Debit Card,1428,514
26203,10/20/2021 19:48,101,522,102,5,46.53,232.65,13.8,218.85,Mobile Payment,1088,506
46774,7/4/2021 10:53,154,505,103,3,141.42,424.26,26.72,397.54,Debit Card,1321,526
41818,10/18/2021 0:49,101,545,101,2,122.78,245.56,7.54,238.02,Credit Card,1810,586
16725,7/28/2021 21:30,119,591,101,2,77.19,154.38,4.74,149.64,Cash,1461,552
92257,5/22/2021 3:34,162,599,104,5,184.81,924.05,16.38,907.67,Credit Card,1041,516
69012,9/9/2021 6:42,171,536,103,5,102.47,512.35,13.11,499.24,Debit Card,1190,522
59354,8/16/2021 2:44,150,554,102,2,54.93,109.86,5.06,104.8,Cash,1597,588
98092,7/23/2021 22:04,116,590,105,2,21.02,42.04,26.25,15.79,Debit Card,1646,579
56052,4/9/2021 14:15,178,560,107,4,54,216,3.15,212.85,Credit Card,1708,509
68390,11/5/2021 22:07,131,515,106,5,163.33,816.65,9.27,807.38,Cash,1195,542
97091,3/23/2021 14:38,127,532,102,1,108.7,108.7,4.27,104.43,Debit Card,1978,562
75639,7/22/2021 2:37,149,544,102,5,77.66,388.3,12.29,376.01,Debit Card,1577,553
10797,8/8/2021 4:35,179,564,106,5,23.18,115.9,25.34,90.56,Cash,1017,523
46234,2/14/2021 17:48,140,528,107,4,170.93,683.72,13.11,670.61,Credit Card,1404,580
66697,5/1/2021 2:13,126,567,107,1,128.74,128.74,23.11,105.63,Mobile Payment,1351,520
41912,1/26/2021 6:23,192,545,101,5,92.14,460.7,28.04,432.66,Credit Card,1937,600
98171,12/9/2020 16:11,138,511,103,3,112.09,336.27,21.67,314.6,Mobile Payment,1855,533
75551,6/22/2021 23:18,148,512,107,2,39.4,78.8,12.61,66.19,Debit Card,1867,599
41514,3/23/2021 17:34,165,568,107,1,140.32,140.32,10.88,129.44,Cash,1832,575
43467,9/12/2021 7:11,174,577,102,3,45.64,136.92,5.25,131.67,Cash,1429,524
12234,9/10/2021 12:06,129,560,107,4,77.72,310.88,27.21,283.67,Debit Card,1730,544
94215,5/5/2021 8:27,150,532,102,3,38.98,116.94,12.65,104.29,Mobile Payment,1387,513
82942,5/13/2021 11:13,118,514,101,4,103.09,412.36,3.81,408.55,Cash,1356,599
20809,11/21/2020 18:04,180,597,102,1,33.55,33.55,12.74,20.81,Cash,1142,562
99333,7/21/2021 0:32,150,599,104,1,57.97,57.97,10.89,47.08,Debit Card,1407,513
86623,7/12/2021 7:11,193,572,104,2,92.44,184.88,8.8,176.08,Credit Card,1013,592
66511,3/11/2021 8:32,136,529,104,1,102.38,102.38,13.45,88.93,Debit Card,1302,551
89946,1/2/2021 13:29,118,542,107,5,115.31,576.55,22.44,554.11,Mobile Payment,1736,576
33980,12/1/2020 15:17,103,521,101,4,125.32,501.28,20.95,480.33,Mobile Payment,1950,511
90042,7/12/2021 14:38,103,502,102,4,24.79,99.16,9.54,89.62,Credit Card,1397,581
75026,7/1/2021 7:57,158,505,103,5,69.25,346.25,19.12,327.13,Mobile Payment,1926,517
43608,6/16/2021 5:38,189,536,103,1,136.09,136.09,11.96,124.13,Mobile Payment,1235,591
58409,1/16/2021 15:40,140,506,107,4,57.73,230.92,22.67,208.25,Credit Card,1289,595
45892,1/29/2021 9:33,189,551,103,2,143.65,287.3,27.92,259.38,Mobile Payment,1848,500
64186,10/12/2021 10:45,107,505,103,2,31.17,62.34,6.91,55.43,Cash,1782,531
45998,3/22/2021 11:29,124,578,105,2,126.09,252.18,21.42,230.76,Debit Card,1544,541
97744,4/26/2021 17:06,116,519,103,2,41.57,83.14,2.88,80.26,Cash,1714,509
25627,8/19/2021 7:29,159,571,102,2,181.1,362.2,8.89,353.31,Credit Card,1866,543
81110,11/30/2020 16:51,109,583,107,2,149.1,298.2,25.01,273.19,Cash,1075,504
74896,6/9/2021 0:03,157,573,103,4,41.32,165.28,14.85,150.43,Cash,1283,599
12371,3/21/2021 8:15,166,564,106,3,142.15,426.45,8.3,418.15,Debit Card,1632,531
93359,11/27/2020 9:56,200,593,102,1,106.3,106.3,18.15,88.15,Cash,1802,574
66635,11/4/2021 16:02,195,582,104,5,58.06,290.3,10.44,279.86,Mobile Payment,1356,506
85628,10/30/2021 8:03,165,581,102,5,68.55,342.75,27.04,315.71,Credit Card,1190,529
47924,12/18/2020 3:24,161,527,107,2,98.34,196.68,15.39,181.29,Cash,1209,543
12216,11/18/2020 17:07,190,598,105,3,167.59,502.77,17.51,485.26,Mobile Payment,1381,564
83604,2/22/2021 16:50,171,501,104,5,75.92,379.6,0.38,379.22,Mobile Payment,1511,534
31321,3/12/2021 0:00,112,567,107,1,159.33,159.33,5.84,153.49,Cash,1579,568
67412,8/15/2021 3:48,132,567,107,5,183.21,916.05,22.97,893.08,Debit Card,1966,536
84002,9/17/2021 9:39,143,528,107,1,59.53,59.53,25.44,34.09,Cash,1881,524
36770,3/3/2021 13:41,110,531,103,4,130.2,520.8,7.69,513.11,Credit Card,1233,579
54792,9/3/2021 21:32,141,572,104,5,198.08,990.4,25.86,964.54,Cash,1135,548
75097,11/1/2021 3:08,167,554,102,3,124.04,372.12,25.06,347.06,Mobile Payment,1251,542
57390,5/4/2021 10:58,192,531,103,1,80.89,80.89,18.53,62.36,Credit Card,1052,542
30190,1/13/2021 9:04,131,561,101,4,67.28,269.12,25.02,244.1,Credit Card,1031,554
32605,12/1/2020 8:35,190,574,102,2,57.56,115.12,8.73,106.39,Mobile Payment,1830,500
39571,1/5/2021 14:50,114,552,101,5,180.02,900.1,15.06,885.04,Mobile Payment,1587,506
